#0: Intel(R) Core(TM) i7-4650U CPU @ 1.70GHz on Apple
#1: HD Graphics 5000 on Apple
coalesced reads, workgroups: 8, num_workers: 4, 0.15592984 seconds
coalesced reads, workgroups: 8, num_workers: 8, 0.0842012 seconds
coalesced reads, workgroups: 8, num_workers: 16, 0.04384152 seconds
coalesced reads, workgroups: 8, num_workers: 32, 0.02258448 seconds
coalesced reads, workgroups: 8, num_workers: 64, 0.01141456 seconds
coalesced reads, workgroups: 8, num_workers: 128, 0.00590776 seconds
coalesced reads, workgroups: 16, num_workers: 4, 0.08491872 seconds
coalesced reads, workgroups: 16, num_workers: 8, 0.0441684 seconds
coalesced reads, workgroups: 16, num_workers: 16, 0.02261216 seconds
coalesced reads, workgroups: 16, num_workers: 32, 0.0113732 seconds
coalesced reads, workgroups: 16, num_workers: 64, 0.00585328 seconds
coalesced reads, workgroups: 16, num_workers: 128, 0.00388088 seconds
coalesced reads, workgroups: 32, num_workers: 4, 0.0444216 seconds
coalesced reads, workgroups: 32, num_workers: 8, 0.02516112 seconds
coalesced reads, workgroups: 32, num_workers: 16, 0.01277856 seconds
coalesced reads, workgroups: 32, num_workers: 32, 0.00662144 seconds
coalesced reads, workgroups: 32, num_workers: 64, 0.00465656 seconds
coalesced reads, workgroups: 32, num_workers: 128, 0.00395448 seconds
coalesced reads, workgroups: 64, num_workers: 4, 0.04469632 seconds
coalesced reads, workgroups: 64, num_workers: 8, 0.02269392 seconds
coalesced reads, workgroups: 64, num_workers: 16, 0.01112992 seconds
coalesced reads, workgroups: 64, num_workers: 32, 0.00571144 seconds
coalesced reads, workgroups: 64, num_workers: 64, 0.00381848 seconds
coalesced reads, workgroups: 64, num_workers: 128, 0.00358808 seconds
coalesced reads, workgroups: 128, num_workers: 4, 0.04472424 seconds
coalesced reads, workgroups: 128, num_workers: 8, 0.02309976 seconds
coalesced reads, workgroups: 128, num_workers: 16, 0.01175744 seconds
coalesced reads, workgroups: 128, num_workers: 32, 0.00615512 seconds
coalesced reads, workgroups: 128, num_workers: 64, 0.00369736 seconds
coalesced reads, workgroups: 128, num_workers: 128, 0.00365224 seconds
coalesced reads, workgroups: 256, num_workers: 4, 0.04508256 seconds
coalesced reads, workgroups: 256, num_workers: 8, 0.02341856 seconds
coalesced reads, workgroups: 256, num_workers: 16, 0.01214568 seconds
coalesced reads, workgroups: 256, num_workers: 32, 0.0064484 seconds
coalesced reads, workgroups: 256, num_workers: 64, 0.00365696 seconds
coalesced reads, workgroups: 256, num_workers: 128, 0.00369712 seconds
coalesced reads, workgroups: 512, num_workers: 4, 0.04521008 seconds
coalesced reads, workgroups: 512, num_workers: 8, 0.0239924 seconds
coalesced reads, workgroups: 512, num_workers: 16, 0.01274176 seconds
coalesced reads, workgroups: 512, num_workers: 32, 0.007034 seconds
coalesced reads, workgroups: 512, num_workers: 64, 0.00368512 seconds
coalesced reads, workgroups: 512, num_workers: 128, 0.00373816 seconds
blocked reads, workgroups: 8, num_workers: 4, 0.1842456 seconds
blocked reads, workgroups: 8, num_workers: 8, 0.11283672 seconds
blocked reads, workgroups: 8, num_workers: 16, 0.07007104 seconds
blocked reads, workgroups: 8, num_workers: 32, 0.0378172 seconds
blocked reads, workgroups: 8, num_workers: 64, 0.01802632 seconds
